title,release_year,runtime,genre,rating,gross(M)
Amélie,2001,122 min,Comedy,8.3,33.23
Amélie,2001,122 min,Romance,8.3,33.23
Toy Story 3,2010,103 min,Animation,8.3,415
Toy Story 3,2010,103 min,Adventure,8.3,415
Toy Story 3,2010,103 min,Comedy,8.3,415
Incendies,2010,131 min,Drama,8.3,6.86
Incendies,2010,131 min,Mystery,8.3,6.86
Lawrence of Arabia,1962,218 min,Adventure,8.3,44.82
Lawrence of Arabia,1962,218 min,Biography,8.3,44.82
Lawrence of Arabia,1962,218 min,Drama,8.3,44.82
Princess Mononoke,1997,134 min,Animation,8.3,2.38
Princess Mononoke,1997,134 min,Action,8.3,2.38
Princess Mononoke,1997,134 min,Adventure,8.3,2.38
North by Northwest,1959,136 min,Action,8.3,13.28
North by Northwest,1959,136 min,Adventure,8.3,13.28
North by Northwest,1959,136 min,Mystery,8.3,13.28
Metropolis,1927,153 min,Drama,8.3,1.24
Metropolis,1927,153 min,Sci-Fi,8.3,1.24
The Sting,1973,129 min,Comedy,8.3,159.6
The Sting,1973,129 min,Crime,8.3,159.6
The Sting,1973,129 min,Drama,8.3,159.6
Citizen Kane,1941,119 min,Drama,8.3,1.59
Citizen Kane,1941,119 min,Mystery,8.3,1.59
Vertigo,1958,128 min,Mystery,8.3,3.2
Vertigo,1958,128 min,Romance,8.3,3.2
Vertigo,1958,128 min,Thriller,8.3,3.2
Singin' in the Rain,1952,103 min,Comedy,8.3,8.82
Singin' in the Rain,1952,103 min,Musical,8.3,8.82
Singin' in the Rain,1952,103 min,Romance,8.3,8.82
Ikiru,1952,143 min,Drama,8.3,0.06
A Separation,2011,123 min,Drama,8.3,7.1
The Apartment,1960,125 min,Comedy,8.3,18.6
The Apartment,1960,125 min,Drama,8.3,18.6
The Apartment,1960,125 min,Romance,8.3,18.6
Dangal,2016,161 min,Action,8.3,12.39
Dangal,2016,161 min,Biography,8.3,12.39
Dangal,2016,161 min,Drama,8.3,12.39
M,1931,99 min,Crime,8.3,0.03
M,1931,99 min,Mystery,8.3,0.03
M,1931,99 min,Thriller,8.3,0.03
Kantara,2022,148 min,Action,8.3,0
Kantara,2022,148 min,Adventure,8.3,0
Kantara,2022,148 min,Drama,8.3,0
Judgment at Nuremberg,1961,179 min,Drama,8.3,0
Judgment at Nuremberg,1961,179 min,War,8.3,0
Double Indemnity,1944,107 min,Crime,8.3,5.72
Double Indemnity,1944,107 min,Drama,8.3,5.72
Double Indemnity,1944,107 min,Film-Noir,8.3,5.72
Like Stars on Earth,2007,165 min,Drama,8.3,1.22
Like Stars on Earth,2007,165 min,Family,8.3,1.22
Bicycle Thieves,1948,89 min,Drama,8.3,0.33
K.G.F: Chapter 2,2022,168 min,Action,8.3,6.6
K.G.F: Chapter 2,2022,168 min,Crime,8.3,6.6
K.G.F: Chapter 2,2022,168 min,Drama,8.3,6.6
Ayla: The Daughter of War,2017,125 min,Biography,8.3,0
Ayla: The Daughter of War,2017,125 min,Drama,8.3,0
Ayla: The Daughter of War,2017,125 min,History,8.3,0
Vikram,2022,175 min,Action,8.3,0
Vikram,2022,175 min,Crime,8.3,0
Vikram,2022,175 min,Thriller,8.3,0
The Kid,1921,68 min,Comedy,8.3,5.45
The Kid,1921,68 min,Drama,8.3,5.45
The Kid,1921,68 min,Family,8.3,5.45
Shershaah,2021,135 min,Action,8.3,0
Shershaah,2021,135 min,Biography,8.3,0
Shershaah,2021,135 min,Drama,8.3,0
Chhichhore,2019,143 min,Comedy,8.3,0.9
Chhichhore,2019,143 min,Drama,8.3,0.9
Chhichhore,2019,143 min,Romance,8.3,0.9
Raatchasan,2018,170 min,Action,8.3,0
Raatchasan,2018,170 min,Crime,8.3,0
Raatchasan,2018,170 min,Drama,8.3,0
Drishyam,2013,160 min,Crime,8.3,0
Drishyam,2013,160 min,Drama,8.3,0
Drishyam,2013,160 min,Thriller,8.3,0
Guardians of the Galaxy Vol. 3,2023,150 min,Action,8.2,0
Guardians of the Galaxy Vol. 3,2023,150 min,Adventure,8.2,0
Guardians of the Galaxy Vol. 3,2023,150 min,Comedy,8.2,0
Indiana Jones and the Last Crusade,1989,127 min,Action,8.2,197.17
Indiana Jones and the Last Crusade,1989,127 min,Adventure,8.2,197.17
Spider-Man: No Way Home,2021,148 min,Action,8.2,804.75
Spider-Man: No Way Home,2021,148 min,Adventure,8.2,804.75
Spider-Man: No Way Home,2021,148 min,Fantasy,8.2,804.75
There Will Be Blood,2007,158 min,Drama,8.2,40.22
The Wolf of Wall Street,2013,180 min,Biography,8.2,116.9
The Wolf of Wall Street,2013,180 min,Comedy,8.2,116.9
The Wolf of Wall Street,2013,180 min,Crime,8.2,116.9
Jurassic Park,1993,127 min,Action,8.2,402.45
Jurassic Park,1993,127 min,Adventure,8.2,402.45
Jurassic Park,1993,127 min,Sci-Fi,8.2,402.45
No Country for Old Men,2007,122 min,Crime,8.2,74.28
No Country for Old Men,2007,122 min,Drama,8.2,74.28
No Country for Old Men,2007,122 min,Thriller,8.2,74.28
Shutter Island,2010,138 min,Mystery,8.2,128.01
Shutter Island,2010,138 min,Thriller,8.2,128.01
Taxi Driver,1976,114 min,Crime,8.2,28.26
Taxi Driver,1976,114 min,Drama,8.2,28.26
Batman Begins,2005,140 min,Action,8.2,206.85
Batman Begins,2005,140 min,Crime,8.2,206.85
Batman Begins,2005,140 min,Drama,8.2,206.85
The Truman Show,1998,103 min,Comedy,8.2,125.62
The Truman Show,1998,103 min,Drama,8.2,125.62
1917,2019,119 min,Action,8.2,159.23
1917,2019,119 min,Drama,8.2,159.23
1917,2019,119 min,War,8.2,159.23
Green Book,2018,130 min,Biography,8.2,85.08
Green Book,2018,130 min,Comedy,8.2,85.08
Green Book,2018,130 min,Drama,8.2,85.08
The Thing,1982,109 min,Horror,8.2,13.78
The Thing,1982,109 min,Mystery,8.2,13.78
The Thing,1982,109 min,Sci-Fi,8.2,13.78
Snatch,2000,102 min,Comedy,8.2,30.33
Snatch,2000,102 min,Crime,8.2,30.33
Howl's Moving Castle,2004,119 min,Animation,8.2,4.71
