title,release_year,runtime,genre,rating,gross(M)
The Handmaiden,2016,145 min,Romance,8.1,2.01
The Handmaiden,2016,145 min,Thriller,8.1,2.01
Logan,2017,137 min,Action,8.1,226.28
Logan,2017,137 min,Drama,8.1,226.28
Logan,2017,137 min,Sci-Fi,8.1,226.28
Before Sunrise,1995,101 min,Drama,8.1,5.54
Before Sunrise,1995,101 min,Romance,8.1,5.54
Trainspotting,1996,93 min,Drama,8.1,16.5
"Monsters, Inc.",2001,92 min,Animation,8.1,289.92
"Monsters, Inc.",2001,92 min,Adventure,8.1,289.92
"Monsters, Inc.",2001,92 min,Comedy,8.1,289.92
Dead Poets Society,1989,128 min,Comedy,8.1,95.86
Dead Poets Society,1989,128 min,Drama,8.1,95.86
The Wizard of Oz,1939,102 min,Adventure,8.1,2.08
The Wizard of Oz,1939,102 min,Family,8.1,2.08
The Wizard of Oz,1939,102 min,Fantasy,8.1,2.08
Fargo,1996,98 min,Crime,8.1,24.61
Fargo,1996,98 min,Thriller,8.1,24.61
Into the Wild,2007,148 min,Adventure,8.1,18.35
Into the Wild,2007,148 min,Biography,8.1,18.35
Into the Wild,2007,148 min,Drama,8.1,18.35
Memories of Murder,2003,132 min,Crime,8.1,0.01
Memories of Murder,2003,132 min,Drama,8.1,0.01
Memories of Murder,2003,132 min,Mystery,8.1,0.01
12 Years a Slave,2013,134 min,Biography,8.1,56.67
12 Years a Slave,2013,134 min,Drama,8.1,56.67
12 Years a Slave,2013,134 min,History,8.1,56.67
Rush,2013,123 min,Action,8.1,26.95
Rush,2013,123 min,Biography,8.1,26.95
Rush,2013,123 min,Drama,8.1,26.95
The Sound of Music,1965,172 min,Biography,8.1,163.21
The Sound of Music,1965,172 min,Drama,8.1,163.21
The Sound of Music,1965,172 min,Family,8.1,163.21
Spotlight,2015,129 min,Biography,8.1,45.06
Spotlight,2015,129 min,Crime,8.1,45.06
Spotlight,2015,129 min,Drama,8.1,45.06
Room,2015,118 min,Drama,8.1,14.68
Room,2015,118 min,Thriller,8.1,14.68
Platoon,1986,120 min,Drama,8.1,138.53
Platoon,1986,120 min,War,8.1,138.53
How to Train Your Dragon,2010,98 min,Animation,8.1,217.58
How to Train Your Dragon,2010,98 min,Action,8.1,217.58
How to Train Your Dragon,2010,98 min,Adventure,8.1,217.58
"Lock, Stock and Two Smoking Barrels",1998,107 min,Action,8.1,3.9
"Lock, Stock and Two Smoking Barrels",1998,107 min,Comedy,8.1,3.9
"Lock, Stock and Two Smoking Barrels",1998,107 min,Crime,8.1,3.9
Gran Torino,2008,116 min,Drama,8.1,148.1
Warrior,2011,140 min,Action,8.1,13.66
Warrior,2011,140 min,Drama,8.1,13.66
Warrior,2011,140 min,Sport,8.1,13.66
Portrait of a Lady on Fire,2019,122 min,Drama,8.1,3.76
Million Dollar Baby,2004,132 min,Drama,8.1,100.49
Million Dollar Baby,2004,132 min,Sport,8.1,100.49
Raging Bull,1980,129 min,Biography,8.1,23.38
Raging Bull,1980,129 min,Drama,8.1,23.38
Raging Bull,1980,129 min,Sport,8.1,23.38
My Neighbor Totoro,1988,86 min,Animation,8.1,1.11
My Neighbor Totoro,1988,86 min,Comedy,8.1,1.11
My Neighbor Totoro,1988,86 min,Family,8.1,1.11
In the Mood for Love,2000,98 min,Drama,8.1,2.73
In the Mood for Love,2000,98 min,Romance,8.1,2.73
Cool Hand Luke,1967,127 min,Crime,8.1,16.22
Cool Hand Luke,1967,127 min,Drama,8.1,16.22
Before Sunset,2004,80 min,Drama,8.1,5.82
Before Sunset,2004,80 min,Romance,8.1,5.82
Hachi: A Dog's Tale,2009,93 min,Biography,8.1,0
Hachi: A Dog's Tale,2009,93 min,Drama,8.1,0
Hachi: A Dog's Tale,2009,93 min,Family,8.1,0
Barry Lyndon,1975,185 min,Adventure,8.1,0
Barry Lyndon,1975,185 min,Drama,8.1,0
Barry Lyndon,1975,185 min,War,8.1,0
Wild Tales,2014,122 min,Comedy,8.1,3.11
Wild Tales,2014,122 min,Drama,8.1,3.11
Wild Tales,2014,122 min,Thriller,8.1,3.11
The Iron Giant,1999,86 min,Animation,8.1,23.16
The Iron Giant,1999,86 min,Action,8.1,23.16
The Iron Giant,1999,86 min,Adventure,8.1,23.16
Inherit the Wind,1960,128 min,Biography,8.1,0
Inherit the Wind,1960,128 min,Drama,8.1,0
Inherit the Wind,1960,128 min,History,8.1,0
Stalker,1979,162 min,Drama,8.1,0.23
Stalker,1979,162 min,Sci-Fi,8.1,0.23
Network,1976,121 min,Drama,8.1,0
La haine,1995,98 min,Crime,8.1,0.31
La haine,1995,98 min,Drama,8.1,0.31
A Silent Voice: The Movie,2016,130 min,Animation,8.1,0
A Silent Voice: The Movie,2016,130 min,Drama,8.1,0
"Paris, Texas",1984,145 min,Drama,8.1,2.18
The Seventh Seal,1957,96 min,Drama,8.1,0
The Seventh Seal,1957,96 min,Fantasy,8.1,0
Hotel Rwanda,2004,121 min,Biography,8.1,23.53
Hotel Rwanda,2004,121 min,Drama,8.1,23.53
Hotel Rwanda,2004,121 min,History,8.1,23.53
Ben-Hur,1959,212 min,Adventure,8.1,74.7
Ben-Hur,1959,212 min,Drama,8.1,74.7
On the Waterfront,1954,108 min,Crime,8.1,9.6
On the Waterfront,1954,108 min,Drama,8.1,9.6
On the Waterfront,1954,108 min,Thriller,8.1,9.6
In the Name of the Father,1993,133 min,Biography,8.1,25.01
In the Name of the Father,1993,133 min,Crime,8.1,25.01
In the Name of the Father,1993,133 min,Drama,8.1,25.01
The Bridge on the River Kwai,1957,161 min,Adventure,8.1,44.91
The Bridge on the River Kwai,1957,161 min,Drama,8.1,44.91
The Bridge on the River Kwai,1957,161 min,War,8.1,44.91
Persona,1966,83 min,Drama,8.1,0
Persona,1966,83 min,Thriller,8.1,0
Amores Perros,2000,154 min,Drama,8.1,5.38
Amores Perros,2000,154 min,Thriller,8.1,5.38
The Third Man,1949,93 min,Film-Noir,8.1,0.45
The Third Man,1949,93 min,Mystery,8.1,0.45
The Third Man,1949,93 min,Thriller,8.1,0.45
A Woman Under the Influence,1974,155 min,Drama,8.1,13.34
A Woman Under the Influence,1974,155 min,Romance,8.1,13.34
The Man Who Shot Liberty Valance,1962,123 min,Drama,8.1,0
The Man Who Shot Liberty Valance,1962,123 min,Western,8.1,0
Neon Genesis Evangelion: The End of Evangelion,1997,87 min,Animation,8.1,0
Neon Genesis Evangelion: The End of Evangelion,1997,87 min,Action,8.1,0
Neon Genesis Evangelion: The End of Evangelion,1997,87 min,Drama,8.1,0
Rebecca,1940,130 min,Drama,8.1,4.36
Rebecca,1940,130 min,Film-Noir,8.1,4.36
Rebecca,1940,130 min,Mystery,8.1,4.36
The Best Years of Our Lives,1946,170 min,Drama,8.1,23.65
The Best Years of Our Lives,1946,170 min,Romance,8.1,23.65
The Best Years of Our Lives,1946,170 min,War,8.1,23.65
Paper Moon,1973,102 min,Comedy,8.1,30.93
Paper Moon,1973,102 min,Crime,8.1,30.93
Paper Moon,1973,102 min,Drama,8.1,30.93
Mary and Max,2009,92 min,Animation,8.1,0
Mary and Max,2009,92 min,Comedy,8.1,0
Mary and Max,2009,92 min,Drama,8.1,0
It Happened One Night,1934,105 min,Comedy,8.1,4.36
It Happened One Night,1934,105 min,Romance,8.1,4.36
All Quiet on the Western Front,1930,152 min,Drama,8.1,3.27
All Quiet on the Western Front,1930,152 min,War,8.1,3.27
Three Colors: Red,1994,99 min,Drama,8.1,4.04
Three Colors: Red,1994,99 min,Mystery,8.1,4.04
Three Colors: Red,1994,99 min,Romance,8.1,4.04
The Celebration,1998,105 min,Drama,8.1,1.65
PK,2014,153 min,Comedy,8.1,10.62
PK,2014,153 min,Drama,8.1,10.62
PK,2014,153 min,Sci-Fi,8.1,10.62
The Grapes of Wrath,1940,129 min,Drama,8.1,0.06
Fanny and Alexander,1982,188 min,Drama,8.1,4.97
The 400 Blows,1959,99 min,Crime,8.1,0
The 400 Blows,1959,99 min,Drama,8.1,0
Wild Strawberries,1957,91 min,Drama,8.1,0
Wild Strawberries,1957,91 min,Romance,8.1,0
Ace in the Hole,1951,111 min,Drama,8.1,3.97
Ace in the Hole,1951,111 min,Film-Noir,8.1,3.97
Andrei Rublev,1966,205 min,Biography,8.1,0.1
Andrei Rublev,1966,205 min,Drama,8.1,0.1
Andrei Rublev,1966,205 min,History,8.1,0.1
Underground,1995,167 min,Comedy,8.1,0.17
Underground,1995,167 min,Drama,8.1,0.17
Underground,1995,167 min,Fantasy,8.1,0.17
Farewell My Concubine,1993,171 min,Drama,8.1,5.22
Farewell My Concubine,1993,171 min,Music,8.1,5.22
Farewell My Concubine,1993,171 min,Romance,8.1,5.22
Yi Yi: A One and a Two...,2000,173 min,Drama,8.1,1.14
Yi Yi: A One and a Two...,2000,173 min,Romance,8.1,1.14
Lagaan: Once Upon a Time in India,2001,224 min,Drama,8.1,0.07
Lagaan: Once Upon a Time in India,2001,224 min,Musical,8.1,0.07
Lagaan: Once Upon a Time in India,2001,224 min,Sport,8.1,0.07
The Message,1976,177 min,Biography,8.1,0
The Message,1976,177 min,Drama,8.1,0
The Message,1976,177 min,History,8.1,0
The Red Shoes,1948,135 min,Drama,8.1,10.9
The Red Shoes,1948,135 min,Music,8.1,10.9
The Red Shoes,1948,135 min,Romance,8.1,10.9
Winter Sleep,2014,196 min,Drama,8.1,0.17
Mr. Smith Goes to Washington,1939,129 min,Comedy,8.1,9.6
Mr. Smith Goes to Washington,1939,129 min,Drama,8.1,9.6
Throne of Blood,1957,110 min,Drama,8.1,0
The Battle of Algiers,1966,121 min,Drama,8.1,0.06
The Battle of Algiers,1966,121 min,War,8.1,0.06
The Hidden Fortress,1958,126 min,Action,8.1,0
The Hidden Fortress,1958,126 min,Adventure,8.1,0
The Hidden Fortress,1958,126 min,Drama,8.1,0
Wolf Children,2012,117 min,Animation,8.1,0
Wolf Children,2012,117 min,Drama,8.1,0
Wolf Children,2012,117 min,Family,8.1,0
Sunrise,1927,94 min,Drama,8.1,0.54
Sunrise,1927,94 min,Romance,8.1,0.54
Dil Chahta Hai,2001,183 min,Comedy,8.1,0.3
Dil Chahta Hai,2001,183 min,Drama,8.1,0.3
Dil Chahta Hai,2001,183 min,Romance,8.1,0.3
Barfi!,2012,151 min,Comedy,8.1,2.8
Barfi!,2012,151 min,Drama,8.1,2.8
Barfi!,2012,151 min,Romance,8.1,2.8
Masaan,2015,109 min,Drama,8.1,0
Kahaani,2012,122 min,Mystery,8.1,1.04
Kahaani,2012,122 min,Thriller,8.1,1.04
White Heat,1949,114 min,Action,8.1,0
White Heat,1949,114 min,Crime,8.1,0
White Heat,1949,114 min,Drama,8.1,0
The General,1926,78 min,Action,8.1,1.03
The General,1926,78 min,Adventure,8.1,1.03
The General,1926,78 min,Comedy,8.1,1.03
Diabolique,1955,117 min,Crime,8.1,1.09
Diabolique,1955,117 min,Drama,8.1,1.09
Diabolique,1955,117 min,Horror,8.1,1.09
The Gold Rush,1925,95 min,Adventure,8.1,5.45
The Gold Rush,1925,95 min,Comedy,8.1,5.45
The Gold Rush,1925,95 min,Drama,8.1,5.45
Autumn Sonata,1978,99 min,Drama,8.1,0
Autumn Sonata,1978,99 min,Music,8.1,0
Talvar,2015,132 min,Crime,8.1,0.34
Talvar,2015,132 min,Drama,8.1,0.34
Talvar,2015,132 min,Mystery,8.1,0.34
Let's Go! India,2007,153 min,Drama,8.1,1.11
Let's Go! India,2007,153 min,Family,8.1,1.11
Let's Go! India,2007,153 min,Sport,8.1,1.11
Nights of Cabiria,1957,110 min,Drama,8.1,0.75
Rang De Basanti,2006,167 min,Comedy,8.1,2.2
Rang De Basanti,2006,167 min,Crime,8.1,2.2
Rang De Basanti,2006,167 min,Drama,8.1,2.2
Raise the Red Lantern,1991,125 min,Drama,8.1,2.6
Raise the Red Lantern,1991,125 min,Romance,8.1,2.6
Bajrangi Bhaijaan,2015,163 min,Action,8.1,8.18
Bajrangi Bhaijaan,2015,163 min,Adventure,8.1,8.18
Bajrangi Bhaijaan,2015,163 min,Comedy,8.1,8.18
Sholay,1975,162 min,Action,8.1,0
Sholay,1975,162 min,Adventure,8.1,0
Sholay,1975,162 min,Comedy,8.1,0
Jean de Florette,1986,120 min,Comedy,8.1,4.94
Jean de Florette,1986,120 min,Drama,8.1,4.94
A Wednesday,2008,104 min,Action,8.1,0
A Wednesday,2008,104 min,Crime,8.1,0
A Wednesday,2008,104 min,Drama,8.1,0
Rififi,1955,118 min,Crime,8.1,0.06
Rififi,1955,118 min,Drama,8.1,0.06
Rififi,1955,118 min,Thriller,8.1,0.06
The Virgin Spring,1960,89 min,Drama,8.1,1.53
The Grand Illusion,1937,113 min,Drama,8.1,0.17
The Grand Illusion,1937,113 min,War,8.1,0.17
Time of the Gypsies,1988,142 min,Comedy,8.1,0.28
Time of the Gypsies,1988,142 min,Crime,8.1,0.28
Time of the Gypsies,1988,142 min,Drama,8.1,0.28
Article 15,2019,130 min,Crime,8.1,0
Article 15,2019,130 min,Drama,8.1,0
Article 15,2019,130 min,Mystery,8.1,0
Queen,2013,146 min,Adventure,8.1,1.43
Queen,2013,146 min,Comedy,8.1,1.43
Queen,2013,146 min,Drama,8.1,1.43
Sarfarosh,1999,174 min,Action,8.1,0
Sarfarosh,1999,174 min,Drama,8.1,0
Sarfarosh,1999,174 min,Thriller,8.1,0
Munna Bhai M.B.B.S.,2003,156 min,Comedy,8.1,0
Munna Bhai M.B.B.S.,2003,156 min,Drama,8.1,0
Tangerines,2013,87 min,Drama,8.1,0.14
Tangerines,2013,87 min,War,8.1,0.14
Pink,2016,136 min,Crime,8.1,1.24
Pink,2016,136 min,Drama,8.1,1.24
Pink,2016,136 min,Thriller,8.1,1.24
Hera Pheri,2000,156 min,Action,8.1,0
Hera Pheri,2000,156 min,Comedy,8.1,0
Hera Pheri,2000,156 min,Crime,8.1,0
The Bandit,1996,128 min,Crime,8.1,0
The Bandit,1996,128 min,Drama,8.1,0
The Bandit,1996,128 min,Thriller,8.1,0
The Circus,1928,72 min,Comedy,8.1,0
The Circus,1928,72 min,Family,8.1,0
The Circus,1928,72 min,Romance,8.1,0
OMG: Oh My God!,2012,125 min,Comedy,8.1,0.92
OMG: Oh My God!,2012,125 min,Drama,8.1,0.92
OMG: Oh My God!,2012,125 min,Fantasy,8.1,0.92
Udaan,2010,134 min,Drama,8.1,0.01
Black,2005,122 min,Drama,8.1,0.73
Everything's Gonna Be Great,1998,107 min,Comedy,8.1,0
Everything's Gonna Be Great,1998,107 min,Drama,8.1,0
Everything's Gonna Be Great,1998,107 min,Thriller,8.1,0
Anand,1971,122 min,Drama,8.1,0
Anand,1971,122 min,Musical,8.1,0
Dune: Part One,2021,155 min,Action,8,108.33
Dune: Part One,2021,155 min,Adventure,8,108.33
Dune: Part One,2021,155 min,Drama,8,108.33
Zack Snyder's Justice League,2021,242 min,Action,8,0
Zack Snyder's Justice League,2021,242 min,Adventure,8,0
Zack Snyder's Justice League,2021,242 min,Fantasy,8,0
Guardians of the Galaxy,2014,121 min,Action,8,333.18
Guardians of the Galaxy,2014,121 min,Adventure,8,333.18
Guardians of the Galaxy,2014,121 min,Comedy,8,333.18
Blade Runner 2049,2017,164 min,Action,8,92.05
Blade Runner 2049,2017,164 min,Drama,8,92.05
Blade Runner 2049,2017,164 min,Mystery,8,92.05
Black Swan,2010,108 min,Drama,8,106.95
Black Swan,2010,108 min,Thriller,8,106.95
The Princess Bride,1987,98 min,Adventure,8,30.86
The Princess Bride,1987,98 min,Comedy,8,30.86
The Princess Bride,1987,98 min,Family,8,30.86
The Incredibles,2004,115 min,Animation,8,261.44
The Incredibles,2004,115 min,Action,8,261.44
The Incredibles,2004,115 min,Adventure,8,261.44
The Avengers,2012,143 min,Action,8,623.28
The Avengers,2012,143 min,Sci-Fi,8,623.28
Deadpool,2016,108 min,Action,8,363.07
Deadpool,2016,108 min,Comedy,8,363.07
La La Land,2016,128 min,Comedy,8,151.1
La La Land,2016,128 min,Drama,8,151.1
La La Land,2016,128 min,Music,8,151.1
Do the Right Thing,1989,120 min,Comedy,8,27.55
Do the Right Thing,1989,120 min,Drama,8,27.55
Her,2013,126 min,Drama,8,25.57
Her,2013,126 min,Romance,8,25.57
Her,2013,126 min,Sci-Fi,8,25.57
Zootopia,2016,108 min,Animation,8,341.27
Zootopia,2016,108 min,Adventure,8,341.27
Zootopia,2016,108 min,Comedy,8,341.27
Donnie Darko,2001,113 min,Drama,8,1.48
Donnie Darko,2001,113 min,Mystery,8,1.48
Donnie Darko,2001,113 min,Sci-Fi,8,1.48
The Martian,2015,144 min,Adventure,8,228.43
The Martian,2015,144 min,Drama,8,228.43
The Martian,2015,144 min,Sci-Fi,8,228.43
Casino Royale,2006,144 min,Action,8,167.45
Casino Royale,2006,144 min,Adventure,8,167.45
Casino Royale,2006,144 min,Thriller,8,167.45
CODA,2021,111 min,Comedy,8,0
CODA,2021,111 min,Drama,8,0
CODA,2021,111 min,Music,8,0
Sin City,2005,124 min,Crime,8,74.1
Sin City,2005,124 min,Thriller,8,74.1
The Imitation Game,2014,114 min,Biography,8,91.13
The Imitation Game,2014,114 min,Drama,8,91.13
The Imitation Game,2014,114 min,Thriller,8,91.13
The Revenant,2015,156 min,Action,8,183.64
The Revenant,2015,156 min,Adventure,8,183.64
The Revenant,2015,156 min,Drama,8,183.64
Dances with Wolves,1990,181 min,Adventure,8,184.21
Dances with Wolves,1990,181 min,Drama,8,184.21
Dances with Wolves,1990,181 min,Western,8,184.21
Fiddler on the Roof,1971,181 min,Drama,8,80.5
Fiddler on the Roof,1971,181 min,Family,8,80.5
Fiddler on the Roof,1971,181 min,Musical,8,80.5
Soul,2020,100 min,Animation,8,0
Soul,2020,100 min,Adventure,8,0
Soul,2020,100 min,Comedy,8,0
Blood Diamond,2006,143 min,Adventure,8,57.37
Blood Diamond,2006,143 min,Drama,8,57.37
Blood Diamond,2006,143 min,Thriller,8,57.37
Aladdin,1992,90 min,Animation,8,217.35
Aladdin,1992,90 min,Adventure,8,217.35
Aladdin,1992,90 min,Comedy,8,217.35
Groundhog Day,1993,101 min,Comedy,8,70.91
Groundhog Day,1993,101 min,Drama,8,70.91
Groundhog Day,1993,101 min,Fantasy,8,70.91
Rain Man,1988,133 min,Drama,8,178.8
Dog Day Afternoon,1975,125 min,Biography,8,50
Dog Day Afternoon,1975,125 min,Crime,8,50
Dog Day Afternoon,1975,125 min,Drama,8,50
Scent of a Woman,1992,156 min,Drama,8,63.9
Big Fish,2003,125 min,Adventure,8,66.26
Big Fish,2003,125 min,Drama,8,66.26
Big Fish,2003,125 min,Fantasy,8,66.26
Young Frankenstein,1974,106 min,Comedy,8,86.3
The Graduate,1967,106 min,Comedy,8,104.95
The Graduate,1967,106 min,Drama,8,104.95
The Graduate,1967,106 min,Romance,8,104.95
Beauty and the Beast,1991,84 min,Animation,8,218.97
Beauty and the Beast,1991,84 min,Family,8,218.97
Beauty and the Beast,1991,84 min,Fantasy,8,218.97
What Ever Happened to Baby Jane?,1962,134 min,Drama,8,4.05
What Ever Happened to Baby Jane?,1962,134 min,Horror,8,4.05
What Ever Happened to Baby Jane?,1962,134 min,Thriller,8,4.05
Magnolia,1999,188 min,Drama,8,22.46
12 Monkeys,1995,129 min,Mystery,8,57.14
12 Monkeys,1995,129 min,Sci-Fi,8,57.14
12 Monkeys,1995,129 min,Thriller,8,57.14
The Pursuit of Happyness,2006,117 min,Biography,8,163.57
The Pursuit of Happyness,2006,117 min,Drama,8,163.57
JFK,1991,189 min,Drama,8,70.41
JFK,1991,189 min,History,8,70.41
JFK,1991,189 min,Thriller,8,70.41
Kill Bill: Vol. 2,2004,137 min,Action,8,66.21
Kill Bill: Vol. 2,2004,137 min,Crime,8,66.21
Kill Bill: Vol. 2,2004,137 min,Thriller,8,66.21
Akira,1988,124 min,Animation,8,0.55
Akira,1988,124 min,Action,8,0.55
Akira,1988,124 min,Drama,8,0.55
Rosemary's Baby,1968,137 min,Drama,8,0
Rosemary's Baby,1968,137 min,Horror,8,0
Planet of the Apes,1968,112 min,Adventure,8,33.4
Planet of the Apes,1968,112 min,Sci-Fi,8,33.4
Slumdog Millionaire,2008,120 min,Crime,8,141.32
Slumdog Millionaire,2008,120 min,Drama,8,141.32
Slumdog Millionaire,2008,120 min,Romance,8,141.32
Perfect Blue,1997,81 min,Animation,8,0.78
Perfect Blue,1997,81 min,Crime,8,0.78
Perfect Blue,1997,81 min,Drama,8,0.78
Dogville,2003,178 min,Crime,8,1.53
Dogville,2003,178 min,Drama,8,1.53
Life of Brian,1979,94 min,Comedy,8,20.05
The Invisible Guest,2016,106 min,Crime,8,0
The Invisible Guest,2016,106 min,Drama,8,0
The Invisible Guest,2016,106 min,Mystery,8,0
Butch Cassidy and the Sundance Kid,1969,110 min,Biography,8,102.31
Butch Cassidy and the Sundance Kid,1969,110 min,Crime,8,102.31
Butch Cassidy and the Sundance Kid,1969,110 min,Drama,8,102.31
Baahubali: The Beginning,2015,159 min,Action,8,6.74
Baahubali: The Beginning,2015,159 min,Drama,8,6.74
Lion,2016,118 min,Biography,8,51.74
Lion,2016,118 min,Drama,8,51.74
High Noon,1952,85 min,Drama,8,9.45
High Noon,1952,85 min,Thriller,8,9.45
High Noon,1952,85 min,Western,8,9.45
The King's Speech,2010,118 min,Biography,8,138.8
The King's Speech,2010,118 min,Drama,8,138.8
The King's Speech,2010,118 min,History,8,138.8
Being There,1979,130 min,Comedy,8,30.18
Being There,1979,130 min,Drama,8,30.18
Ip Man,2008,106 min,Action,8,0
Ip Man,2008,106 min,Biography,8,0
Ip Man,2008,106 min,Drama,8,0
The Bourne Ultimatum,2007,115 min,Action,8,227.47
The Bourne Ultimatum,2007,115 min,Mystery,8,227.47
The Bourne Ultimatum,2007,115 min,Thriller,8,227.47
Sling Blade,1996,135 min,Drama,8,24.48
Chungking Express,1994,102 min,Comedy,8,0.6
Chungking Express,1994,102 min,Crime,8,0.6
Chungking Express,1994,102 min,Drama,8,0.6
Mommy,2014,139 min,Drama,8,3.49
Roman Holiday,1953,118 min,Comedy,8,0
Roman Holiday,1953,118 min,Romance,8,0
Annie Hall,1977,93 min,Comedy,8,39.2
Annie Hall,1977,93 min,Romance,8,39.2
The Maltese Falcon,1941,100 min,Crime,8,2.11
The Maltese Falcon,1941,100 min,Film-Noir,8,2.11
The Maltese Falcon,1941,100 min,Mystery,8,2.11
Rio Bravo,1959,141 min,Drama,8,12.54
Rio Bravo,1959,141 min,Western,8,12.54
Nausicaä of the Valley of the Wind,1984,117 min,Animation,8,0.5
Nausicaä of the Valley of the Wind,1984,117 min,Adventure,8,0.5
Nausicaä of the Valley of the Wind,1984,117 min,Sci-Fi,8,0.5
8½,1963,138 min,Biography,8,0.05
8½,1963,138 min,Drama,8,0.05
The Last Picture Show,1971,118 min,Drama,8,29.13
The Last Picture Show,1971,118 min,Romance,8,29.13
Castle in the Sky,1986,125 min,Animation,8,0
Castle in the Sky,1986,125 min,Adventure,8,0
Castle in the Sky,1986,125 min,Family,8,0
Pink Floyd: The Wall,1982,95 min,Drama,8,22.24
Pink Floyd: The Wall,1982,95 min,Fantasy,8,22.24
Pink Floyd: The Wall,1982,95 min,Music,8,22.24
Gandhi,1982,191 min,Biography,8,52.77
Gandhi,1982,191 min,Drama,8,52.77
Gandhi,1982,191 min,History,8,52.77
Papillon,1973,151 min,Biography,8,53.27
Papillon,1973,151 min,Crime,8,53.27
Papillon,1973,151 min,Drama,8,53.27
Solaris,1972,167 min,Drama,8,0
Solaris,1972,167 min,Mystery,8,0
Solaris,1972,167 min,Sci-Fi,8,0
Cinderella Man,2005,144 min,Biography,8,61.65
Cinderella Man,2005,144 min,Drama,8,61.65
Cinderella Man,2005,144 min,Romance,8,61.65
The Legend of 1900,1998,169 min,Drama,8,0.26
The Legend of 1900,1998,169 min,Music,8,0.26
The Legend of 1900,1998,169 min,Romance,8,0.26
Fitzcarraldo,1982,158 min,Adventure,8,0
Fitzcarraldo,1982,158 min,Drama,8,0
La Dolce Vita,1960,174 min,Comedy,8,19.52
La Dolce Vita,1960,174 min,Drama,8,19.52
The Night of the Hunter,1955,92 min,Crime,8,0.65
The Night of the Hunter,1955,92 min,Drama,8,0.65
The Night of the Hunter,1955,92 min,Film-Noir,8,0.65
The Straight Story,1999,112 min,Biography,8,6.2
The Straight Story,1999,112 min,Drama,8,6.2
Who's Afraid of Virginia Woolf?,1966,131 min,Drama,8,0
Anatomy of a Murder,1959,161 min,Drama,8,11.9
Anatomy of a Murder,1959,161 min,Mystery,8,11.9
Infernal Affairs,2002,101 min,Action,8,0.17
Infernal Affairs,2002,101 min,Crime,8,0.17
Infernal Affairs,2002,101 min,Drama,8,0.17
Wolfwalkers,2020,103 min,Animation,8,0
Wolfwalkers,2020,103 min,Action,8,0
Wolfwalkers,2020,103 min,Adventure,8,0
Touch of Evil,1958,95 min,Crime,8,2.24
Touch of Evil,1958,95 min,Drama,8,2.24
Touch of Evil,1958,95 min,Film-Noir,8,2.24
Wings of Desire,1987,128 min,Drama,8,3.33
Wings of Desire,1987,128 min,Fantasy,8,3.33
Wings of Desire,1987,128 min,Romance,8,3.33
The Leopard,1963,186 min,Drama,8,0
The Leopard,1963,186 min,History,8,0
Out of the Past,1947,97 min,Crime,8,0
Out of the Past,1947,97 min,Drama,8,0
Out of the Past,1947,97 min,Film-Noir,8,0
Mirror,1975,107 min,Biography,8,0.18
Mirror,1975,107 min,Drama,8,0.18
The Cabinet of Dr. Caligari,1920,67 min,Horror,8,0
The Cabinet of Dr. Caligari,1920,67 min,Mystery,8,0
The Cabinet of Dr. Caligari,1920,67 min,Thriller,8,0
The Hustler,1961,134 min,Drama,8,8.28
The Hustler,1961,134 min,Sport,8,8.28
Sweet Smell of Success,1957,96 min,Drama,8,0
Sweet Smell of Success,1957,96 min,Film-Noir,8,0
Le Samouraï,1967,101 min,Crime,8,0.04
Le Samouraï,1967,101 min,Drama,8,0.04
Le Samouraï,1967,101 min,Thriller,8,0.04
Elite Squad,2007,115 min,Action,8,0.01
Elite Squad,2007,115 min,Crime,8,0.01
Elite Squad,2007,115 min,Drama,8,0.01
Secrets & Lies,1996,136 min,Comedy,8,13.42
Secrets & Lies,1996,136 min,Drama,8,13.42
The Tale of The Princess Kaguya,2013,137 min,Animation,8,1.51
The Tale of The Princess Kaguya,2013,137 min,Drama,8,1.51
The Tale of The Princess Kaguya,2013,137 min,Family,8,1.51
Nobody Knows,2004,141 min,Drama,8,0.68
Song of the Sea,2014,93 min,Animation,8,0.86
Song of the Sea,2014,93 min,Adventure,8,0.86
Song of the Sea,2014,93 min,Drama,8,0.86
Stalag 17,1953,120 min,Comedy,8,0
Stalag 17,1953,120 min,Drama,8,0
Stalag 17,1953,120 min,War,8,0
The Diving Bell and the Butterfly,2007,112 min,Biography,8,5.99
The Diving Bell and the Butterfly,2007,112 min,Drama,8,5.99
My Sassy Girl,2001,137 min,Comedy,8,0
My Sassy Girl,2001,137 min,Drama,8,0
My Sassy Girl,2001,137 min,Romance,8,0
Nostalghia,1983,125 min,Drama,8,0.01
Brief Encounter,1945,86 min,Drama,8,0
Brief Encounter,1945,86 min,Romance,8,0
The Sea Inside,2004,126 min,Biography,8,2.09
The Sea Inside,2004,126 min,Drama,8,2.09
Persepolis,2007,96 min,Animation,8,4.45
Persepolis,2007,96 min,Biography,8,4.45
Persepolis,2007,96 min,Drama,8,4.45
Dilwale Dulhania Le Jayenge,1995,181 min,Drama,8,0
Dilwale Dulhania Le Jayenge,1995,181 min,Romance,8,0
"Black Cat, White Cat",1998,127 min,Comedy,8,0.35
"Black Cat, White Cat",1998,127 min,Crime,8,0.35
"Black Cat, White Cat",1998,127 min,Romance,8,0.35
Cries & Whispers,1972,91 min,Drama,8,1.74
